"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489
0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721
0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969
0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049
0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561
0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729
0.4782969,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81
0.43046721,0.4782969,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9
0.387420489,0.43046721,0.4782969,0.531441,0.59049,0.6561,0.729,0.81,0.9,1
